# date	infections	deaths	new infections	new deaths
2020-03-04	115	0		
2020-03-05	181	0	66	0
2020-03-06	329	0	148	0
2020-03-07	373	0	44	0
2020-03-08	398	0	25	0
2020-03-09	484	0	86	0
2020-03-10	484	0	0	0
2020-03-11	484	0	0	0
2020-03-12	688	0	204	0
2020-03-13	936	0	248	0
2020-03-14	1154	0	218	0
2020-03-15	1407	0	253	0
2020-03-16	1541	0	134	0
2020-03-17	2105	6	564	6
2020-03-18	2372	6	267	0
2020-03-19	3033	6	661	0
2020-03-20	3497	6	464	0
2020-03-21	3542	6	45	0
2020-03-22	3545	6	3	0
